Evaluation,Best Losses,Total Time,Times_per_stock
10010.21002960205,0.0006610103300772607,6281.410040140152,625.3956196308136
9963.169921875,0.0019219324458390474,,623.6143510341644
10075.779914855957,0.0014162951847538352,,704.5247542858124
10074.23006439209,0.0006981725455261767,,625.0501041412354
10066.740089416504,0.0008346522226929665,,716.2608950138092
10102.370109558105,0.0005421204259619117,,642.2175199985504
10115.730033874512,0.0004822032933589071,,576.8316271305084
10129.540000915527,0.00026040207012556493,,553.2573220729828
10153.690200805664,0.0008917447994463146,,574.8298809528351
10158.010070800781,0.0005391583545133471,,639.4279658794403
10079.609886169434,,,
10025.439880371094,,,
10050.070106506348,,,
10049.659881591797,,,
10189.749908447266,,,
10333.83977508545,,,
10317.409812927246,,,
10323.9097366333,,,
10302.929870605469,,,
10333.909622192383,,,
10367.439750671387,,,
10265.729759216309,,,
10223.289733886719,,,
9894.169799804688,,,
9644.389739990234,,,
9951.419731140137,,,
9857.239822387695,,,
9982.059631347656,,,
10014.499717712402,,,
9942.939559936523,,,
9847.229881286621,,,
10221.419708251953,,,
10218.15982055664,,,
10121.559524536133,,,
10081.229553222656,,,
10107.389419555664,,,
9981.309349060059,,,
10025.139503479004,,,
10159.77961730957,,,
9960.649673461914,,,
9975.229698181152,,,
9802.549324035645,,,
9893.949523925781,,,
9944.829498291016,,,
9966.78946685791,,,
10097.139236450195,,,
10095.729393005371,,,
10147.15943145752,,,
10160.84954071045,,,
10264.809257507324,,,
10323.079345703125,,,
10438.599479675293,,,
10433.019355773926,,,
10456.699531555176,,,
10394.059379577637,,,
10479.999534606934,,,
10493.679595947266,,,
10574.489379882812,,,
10454.329429626465,,,
10540.829368591309,,,
10549.169319152832,,,
10532.989448547363,,,
10554.059425354004,,,
10611.08960723877,,,
10416.609580993652,,,
10385.969535827637,,,
10314.709510803223,,,
10301.679496765137,,,
10184.399673461914,,,
10111.309532165527,,,
10325.69955444336,,,
10304.189437866211,,,
10349.219482421875,,,
10251.769577026367,,,
10284.619445800781,,,
10180.769706726074,,,
10310.269584655762,,,
10359.169906616211,,,
10412.57974243164,,,
10490.959655761719,,,
10489.85954284668,,,
10398.889739990234,,,
10476.33950805664,,,
10436.889350891113,,,
10403.759674072266,,,
10273.259674072266,,,
10120.959434509277,,,
10428.14948272705,,,
10310.859512329102,,,
10093.289352416992,,,
10214.279327392578,,,
10305.529457092285,,,
10410.259498596191,,,
10480.679573059082,,,
10704.909362792969,,,
10650.079292297363,,,
10630.799217224121,,,
10661.299217224121,,,
10625.839241027832,,,
10659.219200134277,,,
10568.269302368164,,,
10638.449142456055,,,
10673.319152832031,,,
10609.549087524414,,,
10543.779167175293,,,
10575.479125976562,,,
10638.668975830078,,,
10665.438873291016,,,
10688.319053649902,,,
10756.878791809082,,,
10830.408790588379,,,
10838.858779907227,,,
10846.3989944458,,,
10838.818984985352,,,
10793.888931274414,,,
10864.019088745117,,,
10811.288970947266,,,
10916.409049987793,,,
10943.888938903809,,,
10925.018821716309,,,
11034.709129333496,,,
11031.919136047363,,,
11105.74893951416,,,
11156.04891204834,,,
11101.419052124023,,,
11065.879043579102,,,
11136.188888549805,,,
11067.318923950195,,,
11162.968780517578,,,
11153.588836669922,,,
11118.448722839355,,,
11118.388893127441,,,
11102.698692321777,,,
11068.568984985352,,,
11066.588760375977,,,
11015.548843383789,,,
10992.678764343262,,,
10993.62899017334,,,
11076.118957519531,,,
11124.418884277344,,,
11132.968910217285,,,
11131.938850402832,,,
11187.518859863281,,,
11209.428909301758,,,
11223.259010314941,,,
11286.018943786621,,,
11321.048774719238,,,
11245.178840637207,,,
11213.608848571777,,,
11259.52896118164,,,
11167.798858642578,,,
11171.518829345703,,,
11147.958786010742,,,
11094.998779296875,,,
11257.908683776855,,,
11224.098739624023,,,
11251.588775634766,,,
11303.47900390625,,,
11336.758918762207,,,
11478.208854675293,,,
11430.8589553833,,,
11303.199043273926,,,
11350.689002990723,,,
11469.989044189453,,,
11400.208953857422,,,
11347.128952026367,,,
11355.539123535156,,,
11394.409210205078,,,
11543.048988342285,,,
11380.178764343262,,,
11180.748863220215,,,
11176.088851928711,,,
11175.988861083984,,,
11248.338645935059,,,
11192.82884979248,,,
11158.728698730469,,,
11009.248840332031,,,
10919.258880615234,,,
10928.278762817383,,,
10921.508682250977,,,
10821.768905639648,,,
11073.528984069824,,,
11053.87897491455,,,
10943.078941345215,,,
10959.268760681152,,,
11018.358871459961,,,
10940.518844604492,,,
11038.368850708008,,,
10944.288970947266,,,
10793.968955993652,,,
10844.679023742676,,,
10778.2490234375,,,
10641.308975219727,,,
10685.388938903809,,,
10772.168960571289,,,
10736.689041137695,,,
10801.348892211914,,,
10729.708869934082,,,
10669.108863830566,,,
10707.05891418457,,,
10617.06884765625,,,
10634.118759155273,,,
10792.998718261719,,,
10662.588661193848,,,
10610.178840637207,,,
10590.76887512207,,,
10685.678680419922,,,
10665.688697814941,,,
10721.228775024414,,,
10774.268768310547,,,
10848.89875793457,,,
10783.00885772705,,,
10746.048789978027,,,
11100.788871765137,,,
11458.238777160645,,,
11496.438720703125,,,
11572.398696899414,,,
11655.418640136719,,,
11676.763557434082,,,
11473.233612060547,,,
11489.733505249023,,,
11514.793594360352,,,
11505.843574523926,,,
11467.823585510254,,,
11520.703498840332,,,
11536.94344329834,,,
11634.843551635742,,,
11534.11360168457,,,
11428.513534545898,,,
